rep_seed,true_p,candidate_p,val_avg_loglik,val_alpha_mse
40009,4,2,-11.315208435058594,0.09426689893007278
40009,4,3,-0.9464550614356995,0.09586004167795181
40009,4,4,-0.7934061884880066,0.0991329476237297
40009,4,5,-0.7771246433258057,0.09268984943628311
40009,4,6,-0.7935193181037903,0.09384717792272568
40009,4,8,-0.747631311416626,0.0971376970410347
40009,4,10,-0.7219688296318054,0.1172262579202652
80000,8,1,-0.7114161849021912,0.09920909255743027
80000,8,2,-1.9831209182739258,0.09920634329319
80000,8,3,-0.9120566844940186,0.09940996021032333
80000,8,4,-0.855618417263031,0.10497025400400162
80000,8,5,-0.8109304904937744,0.10648132860660553
80000,8,6,-0.7396172881126404,0.0969921424984932
80000,8,8,-0.766116201877594,0.09757119417190552
80000,8,10,-0.71864914894104,0.09387123584747314
80001,8,1,-1.0285907983779907,0.10966415703296661
80001,8,2,-2.270271062850952,0.11355763673782349
80001,8,3,-1.35103178024292,0.09877901524305344
80001,8,4,-0.8688800930976868,0.09954480081796646
80001,8,5,-0.8204148411750793,0.09304142743349075
80001,8,6,-0.7499481439590454,0.09457391500473022
80001,8,8,-0.7455081939697266,0.09956932812929153
80001,8,10,-0.7279620170593262,0.10666894912719727
80002,8,1,-0.7700096964836121,0.10398101061582565
80002,8,2,-2.4384875297546387,0.10470406711101532
80002,8,3,-1.025331735610962,0.10750426352024078
80002,8,4,-0.8009151816368103,0.0986844003200531
80002,8,5,-0.7991533279418945,0.10003241151571274
80002,8,6,-0.7626971006393433,0.10015799850225449
80002,8,8,-0.7618672847747803,0.09165673702955246
80002,8,10,-0.724847137928009,0.10483856499195099
80003,8,1,-0.8504518866539001,0.0971011072397232
80003,8,2,-46.407413482666016,0.08820264786481857
80003,8,3,-0.9673574566841125,0.055757611989974976
80003,8,4,-0.82139652967453,0.09596865624189377
80003,8,5,-0.870406448841095,0.10636270046234131
80003,8,6,-0.7886610627174377,0.08595023304224014
80003,8,8,-0.6756179332733154,0.0699232965707779
80003,8,10,-0.7201282978057861,0.09203379601240158
80004,8,1,-0.7321582436561584,0.09703931957483292
80004,8,2,-2.99931001663208,0.10903478413820267
80004,8,3,-1.3752660751342773,0.08924751728773117
80004,8,4,-0.7735008001327515,0.10207991302013397
80004,8,5,-0.8047316074371338,0.11322104185819626
80004,8,6,-0.8022418022155762,0.10644730925559998
80004,8,8,-0.7216648459434509,0.09544558823108673
80004,8,10,-0.7390707731246948,0.10653669387102127
80005,8,1,-0.7858865261077881,0.10507449507713318
80005,8,2,-2.2403392791748047,0.09392809122800827
80005,8,3,-0.9225558042526245,0.09791278839111328
80005,8,4,-0.8719680309295654,0.09702126681804657
80005,8,5,-0.7471053600311279,0.10362924635410309
80005,8,6,-0.7877653241157532,0.10076933354139328
80005,8,8,-0.7653714418411255,0.10275259613990784
80005,8,10,-0.726137638092041,0.09481777250766754
80006,8,1,-0.7517744898796082,0.09539080411195755
80006,8,2,-13.87342357635498,0.09357962757349014
80006,8,3,-0.852516233921051,0.0984303206205368
80006,8,4,-0.8049119114875793,0.10829725861549377
80006,8,5,-0.7795297503471375,0.10465698689222336
80006,8,6,-0.8185176849365234,0.10078752040863037
80006,8,8,-0.7232439517974854,0.08985522389411926
80006,8,10,-0.7383603453636169,0.08967451006174088
80007,8,1,-0.7516841292381287,0.09825664758682251
80007,8,2,-611.2610473632812,0.09930621832609177
80007,8,3,-0.9221125245094299,0.09657718241214752
80007,8,4,-0.8490275144577026,0.09539815783500671
80007,8,5,-0.8136962652206421,0.11302836239337921
80007,8,6,-0.7220761179924011,0.10083432495594025
80007,8,8,-0.7255644798278809,0.09898562729358673
80007,8,10,-0.7180248498916626,0.10642591118812561
80008,8,1,-0.7875180840492249,0.09943888336420059
80008,8,2,-16.184154510498047,0.11271578818559647
80008,8,3,-0.9404544234275818,0.09516012668609619
80008,8,4,-0.9148497581481934,0.10166016221046448
80008,8,5,-0.7841295003890991,0.10237032920122147
80008,8,6,-0.7575116753578186,0.09708242863416672
80008,8,8,-0.7293838858604431,0.1033659353852272
80008,8,10,-0.7032227516174316,0.10829531401395798
80009,8,1,-0.7217323780059814,0.08728419244289398
